Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
78,3119,species,Green Malkoha,Ceuthmochares australis,1,Monzi--Stay Lodge,ZA-NL,31 Jul 2024,L23137737,S189696533,,1
79,30775,species,Bronze Mannikin,Spermestes cucullata,5,iSimangaliso WP--Grassland Loop,ZA-NL,30 Jul 2024,L7275127,S189549135,,1
80,23978,species,White-throated Swallow,Hirundo albigularis,10,iSimangaliso WP--Grassland Loop,ZA-NL,30 Jul 2024,L7275127,S189549135,,1
81,10007,species,Striped Kingfisher,Halcyon chelicuti,1,iSimangaliso WP--Grassland Loop,ZA-NL,30 Jul 2024,L7275127,S189549135,,1
82,439,species,African Pygmy-Goose,Nettapus auritus,8,iSimangaliso WP--Grassland Loop,ZA-NL,30 Jul 2024,L7275127,S189549135,,1
83,28963,species,Red-capped Robin-Chat,Cossypha natalensis,2,Monzi--Stay Lodge,ZA-NL,30 Jul 2024,L23137737,S189523109,,1
84,7763,species,Palm-nut Vulture,Gypohierax angolensis,1,Monzi--Stay Lodge,ZA-NL,30 Jul 2024,L23137737,S189523109,,1
85,29993,species,Scarlet-chested Sunbird,Chalcomitra senegalensis,2,Tembe Elephant Park,ZA-NL,30 Jul 2024,L1756570,S189504796,,1
87,28642,species,Ashy Flycatcher,Fraseria caerulescens,2,Tembe Elephant Park,ZA-NL,29 Jul 2024,L1756570,S189448557,,1
88,22871,species,Rudd's Apalis,Apalis ruddi,2,Tembe Elephant Park,ZA-NL,29 Jul 2024,L1756570,S189448557,,1
89,19699,species,Retz's Helmetshrike,Prionops retzii,6,Tembe Elephant Park,ZA-NL,29 Jul 2024,L1756570,S189448557,,1
90,22618,species,Eastern Nicator,Nicator gularis,1,Tembe Elephant Park,ZA-NL,29 Jul 2024,L1756570,S189447721,,1
91,30602,species,Dark-backed Weaver,Ploceus bicolor,2,Tembe Elephant Park,ZA-NL,29 Jul 2024,L1756570,S189446942,,1
